memory_system,retriever,stored_memories,gold_durable_events,memory_precision,memory_recall,memory_f1,contamination_rate,query_count,recall_at_1,recall_at_3,mrr,evidence_complete_accuracy,evidence_accuracy_ci_low,evidence_accuracy_ci_high,stale_hit_rate,scope_leakage_rate,latency_p50_ms,latency_p95_ms,avg_returned
mem0_style,current_rag,16,16,1.0,1.0,1.0,0.0,40,0.775,0.9125,0.85,0.9,0.8,0.975,0.0,0.0,0.3299585,0.5397380999999999,1.65
mem0_style,graph_rag,16,16,1.0,1.0,1.0,0.0,40,0.825,0.8875,0.8541666666666666,0.875,0.75,0.975,0.0,0.0,0.354866,0.5080955,1.975
mem0_style,sag,16,16,1.0,1.0,1.0,0.0,40,0.725,0.8,0.7625,0.8,0.675,0.925,0.0,0.0,0.35905699999999996,0.51350515,2.6
mem9_style,current_rag,179,16,0.0893854748603352,1.0,0.16410256410256413,0.9106145251396648,40,0.675,0.7125,0.7,0.7,0.55,0.825,0.125,0.0,0.4327715,0.5776344999999999,2.175
mem9_style,graph_rag,179,16,0.0893854748603352,1.0,0.16410256410256413,0.9106145251396648,40,0.675,0.7125,0.7,0.7,0.55,0.825,0.075,0.0,0.4730755,0.592719,2.225
mem9_style,sag,179,16,0.0893854748603352,1.0,0.16410256410256413,0.9106145251396648,40,0.55,0.575,0.5583333333333333,0.575,0.425,0.725,0.05,0.0,0.586974,0.6562755,2.65
